name,test_date,breed,sex,condition,start_side,reliability
Aoife,08/12/2023,Irish glen maal terrier,F,cue,L,yes
Balou4,28/11/2023,French bulldog terrier,M,cue,L,yes
Bärli,13/12/2023,Irish glen imaal terrier,M,control,L,
Beny,,mix,M,pilot,,
Bo,08/12/2023,border collie,M,control,R,yes
Boo,,mix,F,pilot,,
Chewie,30/11/2023,Bernese mountaindog,M,cue,L,
Dante4,28/11/2023,Eurasier,M,cue,L,
Duana,08/12/2023,Irish glen maal terrier,F,control,R,
Finne-Failbhe,08/12/2023,Irish glen maal terrier,F,control,R,yes
Frida3,,border colie,F,pilot,,
Grogu,30/11/2023,Continental spaniel,M,cue,R,yes
Hero,12/12/2023,Whippet,M,control,R,
Hunter2,12/12/2023,Bedlington terrier,M,control,L,
Jarvis,18/12/2023,Bernese mountaindog,M,control,L,
Kukie,11/12/2023,Border Terrier,F,control,L,yes
Lotta,27/11/2023,Lagotta romagnolo,F,cue,L,yes
Lotte6,29/11/2023,Portuguese waterhound,F,cue,L,
Lucy18,30/11/2023,Miniature poodle,F,cue,R,yes
Maybe,01/12/2023,Parson russel terrier,F,control,R,
Milo,02/12/2023,Chihuahua,M,control,L,yes
Niya,11/12/2023,Shiba Inu,F,control,R,
Oskar4,,mix,M,pilot,,
Paige,,Scottish terrier,F,cue,L,
Paul3,25/11/2023,Whippet,M,cue,L,yes
Pia,29/11/2023,Whippet,F,cue,R,yes
poldi,18/12/2023,Barbet,F,control,R,
Quintus,23/11/2023,Hovawart,M,cue,R,yes
Ragnar,12/12/2023,Bedlington terrier,M,cue,R,
Rose,01/12/2023,Fox terier,M,control,R,yes
Rovina,16/12/2023,Scottish terrier,F,control,R,
Rudi2,28/11/2023,Parson russel terrier,M,cue,R,yes
Samira,17/11/2023,Yorkshire terrier,F,cue,R,
Sammy11,30/11/2023,Parson russel terrier,M,cue,L,yes
Skadi,,Leonberger,F,pilot,,
Sophi,08/12/2023,West highland terrier,F,control,L,yes
Toffee,06/12/2023,Bernese mountaindog,F,control,L,yes
Tofu,25/11/2023,Cocker spaniel,M,cue,R,
Travis,09/12/2023,Siberian Husky,M,control,R,yes
Waleria,16/12/2023,Pinscher ,F,control,L,yes
Wally,23/11/2023,Bullmastiff,F,cue,L,
Yari,19/12/2023,Rusian toy terrier,M,control,R,yes
